Location,date,confirmed,deaths,confirmed
Afghanistan,1/22/20,0,0,0
Afghanistan,1/23/20,0,0,0
Afghanistan,1/24/20,0,0,0
Afghanistan,1/25/20,0,0,0
Afghanistan,1/26/20,0,0,0
Afghanistan,1/27/20,0,0,0
Afghanistan,1/28/20,0,0,0
Afghanistan,1/29/20,0,0,0
Afghanistan,1/30/20,0,0,0
Afghanistan,1/31/20,0,0,0
Afghanistan,2/1/20,0,0,0
Afghanistan,2/2/20,0,0,0
Afghanistan,2/3/20,0,0,0
Afghanistan,2/4/20,0,0,0
Afghanistan,2/5/20,0,0,0
Afghanistan,2/6/20,0,0,0
Afghanistan,2/7/20,0,0,0
Afghanistan,2/8/20,0,0,0
Afghanistan,2/9/20,0,0,0
Afghanistan,2/10/20,0,0,0
Afghanistan,2/11/20,0,0,0
Afghanistan,2/12/20,0,0,0
Afghanistan,2/13/20,0,0,0
Afghanistan,2/14/20,0,0,0
Afghanistan,2/15/20,0,0,0
Afghanistan,2/16/20,0,0,0
Afghanistan,2/17/20,0,0,0
Afghanistan,2/18/20,0,0,0
Afghanistan,2/19/20,0,0,0
Afghanistan,2/20/20,0,0,0
Afghanistan,2/21/20,0,0,0
Afghanistan,2/22/20,0,0,0
Afghanistan,2/23/20,0,0,0
Afghanistan,2/24/20,1,0,0
Afghanistan,2/25/20,1,0,0
Afghanistan,2/26/20,1,0,0
Afghanistan,2/27/20,1,0,0
Afghanistan,2/28/20,1,0,0
Afghanistan,2/29/20,1,0,0
Afghanistan,3/1/20,1,0,0
Afghanistan,3/2/20,1,0,0
Afghanistan,3/3/20,1,0,0
Afghanistan,3/4/20,1,0,0
Afghanistan,3/5/20,1,0,0
Afghanistan,3/6/20,1,0,0
Afghanistan,3/7/20,1,0,0
Afghanistan,3/8/20,4,0,0
Afghanistan,3/9/20,4,0,0
Afghanistan,3/10/20,5,0,0
Afghanistan,3/11/20,7,0,0
Afghanistan,3/12/20,7,0,0
Afghanistan,3/13/20,7,0,0
Afghanistan,3/14/20,11,0,0
Afghanistan,3/15/20,16,0,0
Afghanistan,3/16/20,21,0,1
Afghanistan,3/17/20,22,0,1
Afghanistan,3/18/20,22,0,1
Afghanistan,3/19/20,22,0,1
Afghanistan,3/20/20,24,0,1
Afghanistan,3/21/20,24,0,1
Afghanistan,3/22/20,40,1,1
Afghanistan,3/23/20,40,1,1
Afghanistan,3/24/20,74,1,1
Afghanistan,3/25/20,84,2,2
Afghanistan,3/26/20,94,4,2
Afghanistan,3/27/20,110,4,2
Afghanistan,3/28/20,110,4,2
Afghanistan,3/29/20,120,4,2
Afghanistan,3/30/20,170,4,2
Afghanistan,3/31/20,174,4,5
Afghanistan,4/1/20,237,4,5
Afghanistan,4/2/20,273,6,10
Afghanistan,4/3/20,281,6,10
Afghanistan,4/4/20,299,7,10
Albania,1/22/20,0,0,0
Albania,1/23/20,0,0,0
Albania,1/24/20,0,0,0
Albania,1/25/20,0,0,0
Albania,1/26/20,0,0,0
Albania,1/27/20,0,0,0
Albania,1/28/20,0,0,0
Albania,1/29/20,0,0,0
Albania,1/30/20,0,0,0
Albania,1/31/20,0,0,0
Albania,2/1/20,0,0,0
Albania,2/2/20,0,0,0
Albania,2/3/20,0,0,0
Albania,2/4/20,0,0,0
Albania,2/5/20,0,0,0
Albania,2/6/20,0,0,0
Albania,2/7/20,0,0,0
Albania,2/8/20,0,0,0
Albania,2/9/20,0,0,0
Albania,2/10/20,0,0,0
Albania,2/11/20,0,0,0
Albania,2/12/20,0,0,0
Albania,2/13/20,0,0,0
Albania,2/14/20,0,0,0
Albania,2/15/20,0,0,0
Albania,2/16/20,0,0,0
Albania,2/17/20,0,0,0
Albania,2/18/20,0,0,0
Albania,2/19/20,0,0,0
Albania,2/20/20,0,0,0
Albania,2/21/20,0,0,0
Albania,2/22/20,0,0,0
Albania,2/23/20,0,0,0
Albania,2/24/20,0,0,0
Albania,2/25/20,0,0,0
Albania,2/26/20,0,0,0
Albania,2/27/20,0,0,0
Albania,2/28/20,0,0,0
Albania,2/29/20,0,0,0
Albania,3/1/20,0,0,0
Albania,3/2/20,0,0,0
Albania,3/3/20,0,0,0
Albania,3/4/20,0,0,0
Albania,3/5/20,0,0,0
Albania,3/6/20,0,0,0
Albania,3/7/20,0,0,0
Albania,3/8/20,0,0,0
Albania,3/9/20,2,0,0
Albania,3/10/20,10,0,0
Albania,3/11/20,12,1,0
Albania,3/12/20,23,1,0
Albania,3/13/20,33,1,0
Albania,3/14/20,38,1,0
Albania,3/15/20,42,1,0
Albania,3/16/20,51,1,0
Albania,3/17/20,55,1,0
Albania,3/18/20,59,2,0
Albania,3/19/20,64,2,0
Albania,3/20/20,70,2,0
Albania,3/21/20,76,2,2
Albania,3/22/20,89,2,2
Albania,3/23/20,104,4,2
Albania,3/24/20,123,5,10
Albania,3/25/20,146,5,17
Albania,3/26/20,174,6,17
Albania,3/27/20,186,8,31
Albania,3/28/20,197,10,31
Albania,3/29/20,212,10,33
Albania,3/30/20,223,11,44
Albania,3/31/20,243,15,52
Albania,4/1/20,259,15,67
Albania,4/2/20,277,16,76
Albania,4/3/20,304,17,89
Albania,4/4/20,333,20,99
Algeria,1/22/20,0,0,0
Algeria,1/23/20,0,0,0
Algeria,1/24/20,0,0,0
Algeria,1/25/20,0,0,0
Algeria,1/26/20,0,0,0
Algeria,1/27/20,0,0,0
Algeria,1/28/20,0,0,0
Algeria,1/29/20,0,0,0
Algeria,1/30/20,0,0,0
Algeria,1/31/20,0,0,0
Algeria,2/1/20,0,0,0
Algeria,2/2/20,0,0,0
Algeria,2/3/20,0,0,0
Algeria,2/4/20,0,0,0
Algeria,2/5/20,0,0,0
Algeria,2/6/20,0,0,0
Algeria,2/7/20,0,0,0
Algeria,2/8/20,0,0,0
Algeria,2/9/20,0,0,0
Algeria,2/10/20,0,0,0
Algeria,2/11/20,0,0,0
Algeria,2/12/20,0,0,0
Algeria,2/13/20,0,0,0
Algeria,2/14/20,0,0,0
Algeria,2/15/20,0,0,0
Algeria,2/16/20,0,0,0
